113,70,95, 324 
114,78,96, 385 
115,71,89, 338 
95,83,196, 352 
90,88,236, 363 
83,93,276, 362 
74,100,332, 365 
68,100,367, 352 
81,89,279, 339 
118,91,88, 450 
108,94,141, 454 
93,103,232, 448 
82,111,313, 451 
76,115,358, 450 
77,121,371, 495 
79,125,376, 530 
84,114,309, 489 
103,108,187, 522 
117,101,103, 531 
110,114,158, 585 
121,90,82, 484 
133,108,47, 612 
92,139,318, 670 
103,129,229, 650 
71,117,390, 465 
116,107,125, 537 
119,102,102, 550 
122,105,72, 540 
126,104,51, 545 
130,112,70, 645 
130,106,41, 617 
99,90,187, 400 
88,97,251, 404 
113,77,102, 378 
101,79,165, 357 
89,87,225, 359 
83,92,272, 362 
72,98,346, 348 
75,92,328, 331 
97,71,171, 320 
96,64,176, 255 
122,71,47, 374
102,107,191, 514 
81,105,298, 439 
75,106,332, 424 
72,87,324, 287


