159,50,154, 298 
150,53,202, 285 
139,57,265, 283
126,64,345, 257
118,65,400, 243
132,66,309, 303 
120,75,406, 297 
123,84,393, 364
137,82,306, 390 
147,78,248, 397
136,85,323, 406 
148,80,251, 415 
121,87,413, 372 
133,100,386, 480 
137,89,326, 441 
157,81,204, 438 
182,71,77, 443 
196,68,8, 465 
172,67,120, 409 
164,70,162, 407 
161,69,172, 396 
145,70,240, 367
139,68,264, 335 
143,65,247, 332 
148,60,213, 326 
143,58,243, 295
135,81,316, 395 
156,120,318, 662
170,107,198, 635
185,97,101, 610 
159,91,224, 501 
184,41,42, 309 
170,48,111, 317 
159,59,170, 344 
167,66,145, 397 
161,65,170, 386 
173,62,114, 392 
185,58,47, 407 
129,88,376, 427 
130,97,385, 478 
129,86,379, 417
131,91,378, 448 
131,82,348, 402 
135,81,320, 405 
145,75,270, 404
152,71,221, 398 
145,31,200, 145 
140,49,237, 253
133,54,279, 254

